Oyuncu_Adi;Yas;Saha;Rakip;Oynama_Sure;Sayi;Rebound;Asist;PIR;Etki;Seyahat_Mesafe;Seyahat_Sure;Dinlenme_Sure;Tarih;Round;RakipForm;fg2;fg3
Shane Larkin;31;1;FC Barcelona;32;16;0;12;26;-10;2235;167;7;5.10.2023;1;0,8;0,86;0,2
Derek Willis;28;1;FC Barcelona;27;8;6;2;12;-13;2235;167;4;5.10.2023;1;0,8;0,5;0,33
Elijah Bryant;29;1;FC Barcelona;16;10;2;3;10;-13;2235;167;7;5.10.2023;1;0,8;0,4;0,5
Will Clyburn;33;1;FC Barcelona;27;7;4;1;3;-14;2235;167;4;5.10.2023;1;0,8;0,25;0,25
Rodrigue Beaubois;36;1;FC Barcelona;15;4;0;0;0;-15;2235;167;4;5.10.2023;1;0,8;0;0,33
Darius Thompson;28;1;FC Barcelona;26;2;2;3;-4;-2;2235;167;4;5.10.2023;1;0,8;0,2;0
Scottie Wilbekin;31;0;Emporio Armani Milano;31;19;1;4;16;5;0;0;7;6.10.2023;1;0,2;0,5;0,5
Dyshawn Pierre;30;0;Emporio Armani Milano;33;11;6;2;13;-2;0;0;7;6.10.2023;1;0,2;0,2;1
Marko Guduric;29;0;Emporio Armani Milano;18;15;1;1;13;0;0;0;7;6.10.2023;1;0,2;1;0,33
Nigel Hayes-Davis;31;0;Emporio Armani Milano;30;0;2;0;-6;1;0;0;4;6.10.2023;1;0,2;0;0
Scottie Wilbekin;31;1;Valencia Basket;21;14;2;2;15;-2;3278;231;6;13.10.2023;2;0,8;0,67;0,5
Nigel Hayes-Davis;31;1;Valencia Basket;33;11;6;2;14;5;3278;231;6;13.10.2023;2;0,8;0,67;0,29
Marko Guduric;29;1;Valencia Basket;21;6;3;1;1;-2;3278;231;3;13.10.2023;2;0,8;0,4;0
Dyshawn Pierre;30;1;Valencia Basket;14;0;5;1;0;-6;3278;231;3;13.10.2023;2;0,8;0;0
Darius Thompson;28;0;Real Madrid;32;20;7;5;23;-10;0;0;3;12.10.2023;2;1;0,67;0,67
Rodrigue Beaubois;36;0;Real Madrid;22;19;3;1;17;2;0;0;3;12.10.2023;2;1;0,6;0,67
Derek Willis;28;0;Real Madrid;21;9;2;0;8;-5;0;0;3;12.10.2023;2;1;0;0,6
Shane Larkin;31;0;Real Madrid;24;5;2;4;6;-47;0;0;6;12.10.2023;2;1;0,33;0,33
Will Clyburn;33;0;Real Madrid;17;4;5;1;1;-30;0;0;6;12.10.2023;2;1;0,17;0
Shane Larkin;31;0;LDLC ASVEL Villeurbanne;32;18;6;6;23;16;0;0;4;17.10.2023;3;0;0,5;0,43
Nick Calathes;35;0;Panathinaikos Athens;29;12;4;5;19;22;0;0;1;17.10.2023;3;0,4;0,75;0,67
Marko Guduric;29;0;Panathinaikos Athens;29;12;4;5;19;22;0;0;1;17.10.2023;3;0,4;1;1
Rodrigue Beaubois;36;0;LDLC ASVEL Villeurbanne;29;14;4;3;17;7;0;0;2;17.10.2023;3;0;0,75;0,4
Will Clyburn;33;0;LDLC ASVEL Villeurbanne;32;19;6;4;17;11;0;0;2;17.10.2023;3;0;0,6;0,33
Darius Thompson;28;0;LDLC ASVEL Villeurbanne;16;14;2;2;14;2;0;0;2;17.10.2023;3;0;0,75;0,33
Dyshawn Pierre;30;0;Panathinaikos Athens;28;4;10;3;12;27;0;0;3;17.10.2023;3;0,4;0,4;0
Derek Willis;28;0;LDLC ASVEL Villeurbanne;31;7;2;0;8;4;0;0;4;17.10.2023;3;0;1;0,33
Nigel Hayes-Davis;31;0;Panathinaikos Athens;27;7;2;1;3;21;0;0;1;17.10.2023;3;0,4;1;0,14
Scottie Wilbekin;31;0;Panathinaikos Athens;20;7;1;0;0;-3;0;0;3;17.10.2023;3;0,4;0;0,22
Shane Larkin;31;0;Valencia Basket;32;15;8;6;26;2;0;0;2;20.10.2023;4;0,8;0,67;0,33
Nick Calathes;35;0;LDLC ASVEL Villeurbanne;23;7;8;9;20;13;0;0;1;19.10.2023;4;0;0,33;1
